,CODE_GENDER,REGION_RATING_CLIENT,DAYS_ID_PUBLISH,PAYMENT_RATE,EMERGENCYSTATE_MODE_No,FLAG_OWN_CAR,OCCUPATION_TYPE_Laborers,DAYS_LAST_PHONE_CHANGE,DEF_30_CNT_SOCIAL_CIRCLE,REG_CITY_NOT_WORK_CITY
0,0.0,2.0,-2120.0,0.0607492667810303,1.0,0.0,1.0,-1134.0,2.0,0.0
1,1.0,1.0,-291.0,0.0275983231574736,1.0,0.0,0.0,-828.0,0.0,0.0
2,0.0,2.0,-2531.0,0.05,0.0,1.0,1.0,-815.0,0.0,0.0
3,1.0,2.0,-2437.0,0.0949413542491185,0.0,0.0,1.0,-617.0,0.0,0.0
4,0.0,2.0,-3458.0,0.0426228070175438,0.0,0.0,0.0,-1106.0,0.0,1.0
5,0.0,2.0,-477.0,0.0561014321232304,0.0,0.0,1.0,-2536.0,0.0,0.0
6,1.0,2.0,-619.0,0.0264626846736711,0.0,1.0,0.0,-1562.0,0.0,0.0
7,0.0,3.0,-2379.0,0.0275,0.0,1.0,0.0,-1070.0,0.0,1.0
8,1.0,2.0,-3514.0,0.0331759202047841,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,2.0,-3992.0,0.05,0.0,0.0,1.0,-1673.0,0.0,0.0
10,1.0,2.0,-738.0,0.0324551724137931,0.0,0.0,0.0,-844.0,0.0,0.0
11,1.0,2.0,-2512.0,0.0719745222929936,0.0,0.0,0.0,-2396.0,0.0,0.0
12,1.0,2.0,-3227.0,0.0727323316638842,1.0,0.0,1.0,-2370.0,0.0,0.0
13,0.0,2.0,-4911.0,0.0315378434523576,1.0,1.0,0.0,-4.0,0.0,0.0
14,1.0,2.0,-2056.0,0.0423663256344188,1.0,0.0,1.0,-188.0,0.0,0.0
15,0.0,3.0,-1368.0,0.0672511108442416,0.0,1.0,1.0,-925.0,0.0,1.0
16,0.0,2.0,-3866.0,0.0513135237758841,0.0,0.0,0.0,-3.0,0.0,1.0
17,1.0,2.0,-2427.0,0.05,0.0,0.0,1.0,-2811.0,0.0,1.0
18,1.0,1.0,-1259.0,0.05,1.0,0.0,1.0,-239.0,0.0,0.0
19,1.0,2.0,-3964.0,0.0322567315162234,0.0,0.0,0.0,-1850.0,0.0,0.0
mean,0.55,2.0,-2407.3,0.04855196749003241,0.3,0.25,0.5,-1148.55,0.1,0.25
s0m10,,,,,,,,,,
s0m20,0.0,2.5,-1744.0,0.06400018881263594,0.5,0.5,1.0,-1029.5,1.0,0.5
s0m30,0.0,2.0,-4256.333333333333,0.04428378907608057,0.3333333333333333,0.3333333333333333,0.3333333333333333,-560.0,0.0,0.3333333333333333
s0m40,0.0,2.0,-477.0,0.0561014321232304,0.0,0.0,1.0,-2536.0,0.0,0.0
s0m50,0.0,2.3333333333333335,-2789.3333333333335,0.0400409356725146,0.0,0.6666666666666666,0.3333333333333333,-997.0,0.0,0.6666666666666666
s0m60,,,,,,,,,,
s0m70,,,,,,,,,,
s0m80,,,,,,,,,,
s1m10,,,,,,,,,,
s1m20,1.0,2.0,-1582.5,0.04122758620689655,0.0,0.0,0.5,-1827.5,0.0,0.5
s1m30,1.0,2.0,-2603.3333333333335,0.0438172492845929,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1927.3333333333333,0.0,0.0
s1m40,1.0,1.3333333333333333,-1202.0,0.039988216263964135,1.0,0.0,0.6666666666666666,-418.3333333333333,0.0,0.0
s1m50,1.0,2.0,-2821.0,0.06669726558229873,0.0,0.0,0.3333333333333333,-1004.3333333333334,0.0,0.0
s1m60,,,,,,,,,,
s1m70,,,,,,,,,,
s1m80,,,,,,,,,,
